NAMESPACE                   LAST SEEN   TYPE      REASON                    OBJECT                                                      MESSAGE
atlas-e2e                   43m         Warning   FailedScheduling          pod/minio-8d4866b9-gk4nn                                    0/1 nodes are available: 1 node(s) had untolerated taint {node.kubernetes.io/not-ready: }. preemption: 0/1 nodes are available: 1 Preemption is not helpful for scheduling.
kube-system                 43m         Warning   FailedScheduling          pod/coredns-668d6bf9bc-phnlt                                0/1 nodes are available: 1 node(s) had untolerated taint {node.kubernetes.io/not-ready: }. preemption: 0/1 nodes are available: 1 Preemption is not helpful for scheduling.
atlas-e2e                   43m         Warning   FailedScheduling          pod/prometheus-77f7b9d779-2zq96                             0/1 nodes are available: 1 node(s) had untolerated taint {node.kubernetes.io/not-ready: }. preemption: 0/1 nodes are available: 1 Preemption is not helpful for scheduling.
kube-system                 43m         Warning   FailedScheduling          pod/coredns-668d6bf9bc-g2c4j                                0/1 nodes are available: 1 node(s) had untolerated taint {node.kubernetes.io/not-ready: }. preemption: 0/1 nodes are available: 1 Preemption is not helpful for scheduling.
atlas-e2e                   43m         Normal    SuccessfulCreate          replicaset/otel-collector-676699486c                        Created pod: otel-collector-676699486c-xhdlz
atlas-e2e                   43m         Normal    SuccessfulCreate          replicaset/prometheus-77f7b9d779                            Created pod: prometheus-77f7b9d779-2zq96
kube-system                 43m         Normal    SuccessfulCreate          replicaset/coredns-668d6bf9bc                               Created pod: coredns-668d6bf9bc-g2c4j
atlas-e2e                   43m         Warning   FailedScheduling          pod/otel-collector-676699486c-xhdlz                         0/1 nodes are available: 1 node(s) had untolerated taint {node.kubernetes.io/not-ready: }. preemption: 0/1 nodes are available: 1 Preemption is not helpful for scheduling.
atlas-e2e                   43m         Normal    SuccessfulCreate          replicaset/minio-8d4866b9                                   Created pod: minio-8d4866b9-gk4nn
local-path-storage          43m         Normal    SuccessfulCreate          replicaset/local-path-provisioner-7dc846544d                Created pod: local-path-provisioner-7dc846544d-9w5nc
